CL,Tau_in,Rise Time,Fall Time,t_HL,t_LH
3.000000e-15,4.400000e-10,2.555000e-10,2.425000e-10,1.550000e-10,1.425000e-10
3.000000e-15,4.500000e-10,2.595000e-10,2.460000e-10,1.560000e-10,1.440000e-10
3.000000e-15,4.600000e-10,2.630000e-10,2.490000e-10,1.570000e-10,1.450000e-10
3.000000e-15,4.700000e-10,2.670000e-10,2.535000e-10,1.580000e-10,1.460000e-10
3.000000e-15,4.800000e-10,2.705000e-10,2.570000e-10,1.590000e-10,1.475000e-10
3.000000e-15,4.900000e-10,2.740000e-10,2.605000e-10,1.605000e-10,1.490000e-10
4.000000e-15,1.000000e-11,9.550000e-11,9.650000e-11,7.350000e-11,4.950000e-11
4.000000e-15,2.000000e-11,9.950000e-11,9.850000e-11,7.800000e-11,5.550000e-11
4.000000e-15,3.000000e-11,1.040000e-10,1.010000e-10,8.300000e-11,6.050000e-11
4.000000e-15,4.000000e-11,1.090000e-10,1.045000e-10,8.700000e-11,6.550000e-11
4.000000e-15,5.000000e-11,1.135000e-10,1.085000e-10,9.150000e-11,7.000000e-11
4.000000e-15,6.000000e-11,1.180000e-10,1.125000e-10,9.600000e-11,7.350000e-11
4.000000e-15,7.000000e-11,1.225000e-10,1.165000e-10,9.950000e-11,7.700000e-11
4.000000e-15,8.000000e-11,1.270000e-10,1.205000e-10,1.030000e-10,8.050000e-11
4.000000e-15,9.000000e-11,1.310000e-10,1.250000e-10,1.060000e-10,8.350000e-11
4.000000e-15,1.000000e-10,1.350000e-10,1.290000e-10,1.090000e-10,8.650000e-11
4.000000e-15,1.100000e-10,1.390000e-10,1.330000e-10,1.120000e-10,8.950000e-11
4.000000e-15,1.200000e-10,1.430000e-10,1.370000e-10,1.145000e-10,9.200000e-11
4.000000e-15,1.300000e-10,1.470000e-10,1.415000e-10,1.170000e-10,9.500000e-11
4.000000e-15,1.400000e-10,1.510000e-10,1.450000e-10,1.190000e-10,9.750000e-11
4.000000e-15,1.500000e-10,1.550000e-10,1.490000e-10,1.215000e-10,1.000000e-10
4.000000e-15,1.600000e-10,1.590000e-10,1.520000e-10,1.240000e-10,1.030000e-10
4.000000e-15,1.700000e-10,1.625000e-10,1.560000e-10,1.260000e-10,1.050000e-10
4.000000e-15,1.800000e-10,1.665000e-10,1.595000e-10,1.275000e-10,1.070000e-10
4.000000e-15,1.900000e-10,1.710000e-10,1.630000e-10,1.300000e-10,1.100000e-10
4.000000e-15,2.000000e-10,1.750000e-10,1.670000e-10,1.320000e-10,1.120000e-10
